Name,SMILES,IC50_uM,MW,LogP,TPSA,HBD,HBA,RotBonds,ArRings,HeavyAtoms,pIC50
Atrazine,CCNc1nc(Cl)nc(NC(C)C)n1,0.19,215.68800000000002,1.7770999999999997,62.730000000000004,2.0,5.0,4.0,1.0,14.0,6.721246399047171
Simazine,CCNc1nc(Cl)nc(NCC)n1,0.43,201.661,1.3885999999999998,62.730000000000004,2.0,5.0,4.0,1.0,13.0,6.366531544420414
Propazine,CC(C)Nc1nc(Cl)nc(NC(C)C)n1,0.1,229.71500000000003,2.1655999999999995,62.730000000000004,2.0,5.0,4.0,1.0,15.0,7.0
Terbutryn,CC(C)(C)Nc1nc(SC)nc(NCC)n1,0.04,241.364,2.2356999999999996,62.730000000000004,2.0,6.0,4.0,1.0,16.0,7.3979400086720375
Ametryn,CCNc1nc(SC)nc(NC(C)C)n1,0.06,227.33700000000002,1.8455999999999997,62.730000000000004,2.0,6.0,5.0,1.0,15.0,7.221848749616356
Prometryn,CC(C)Nc1nc(SC)nc(NC(C)C)n1,0.05,241.364,2.2340999999999998,62.730000000000004,2.0,6.0,5.0,1.0,16.0,7.301029995663981
Diuron,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,0.011,233.09799999999998,3.0869000000000018,32.34,1.0,1.0,1.0,1.0,14.0,7.958607314841775
Linuron,CN(OC)C(=O)Nc1ccc(Cl)c(Cl)c1,0.028,249.097,3.0185000000000013,41.57,1.0,2.0,2.0,1.0,15.0,7.552841968657781
Chlortoluron,CN(C)C(=O)Nc1ccc(Cl)c(C)c1,0.22,212.67999999999998,2.7419200000000012,32.34,1.0,1.0,1.0,1.0,14.0,6.657577319177793
Isoproturon,CN(C)C(=O)Nc1ccc(C(C)C)cc1,0.009,206.289,2.903500000000001,32.34,1.0,1.0,2.0,1.0,15.0,8.045757490560675
Metobromuron,CN(OC)C(=O)Nc1ccc(Br)cc1,0.16,259.103,2.4742000000000006,41.57,1.0,2.0,2.0,1.0,14.0,6.795880017344075
Metoxuron,CN(C)C(=O)Nc1ccc(Cl)c(OC)c1,0.38,228.67899999999997,2.442100000000001,41.57000000000001,1.0,2.0,2.0,1.0,15.0,6.42021640338319
Fluometuron,CN(C)C(=O)Nc1ccc(C(F)(F)F)cc1,0.013,232.20499999999996,2.7989000000000006,32.34,1.0,1.0,1.0,1.0,16.0,7.886056647693163
Fenuron,CN(C)C(=O)Nc1ccccc1,0.6,164.208,1.7801,32.34,1.0,1.0,1.0,1.0,12.0,6.221848749616356
Tebuthiuron,CN(C)C(=O)Nc1nnc(C(C)(C)C)s1,0.055,228.321,1.9291000000000003,58.120000000000005,1.0,4.0,1.0,1.0,15.0,7.259637310505756
Methabenzthiazuron,CN(C(=O)Nc1nc2ccccc2s1)C,0.25,221.285,2.3898,45.230000000000004,1.0,3.0,1.0,2.0,15.0,6.6020599913279625
Cyanazine,CC(C)(N)Nc1nc(Cl)nc(NCC)n1,0.19,230.703,1.0635,88.75,3.0,6.0,4.0,1.0,15.0,6.721246399047171
Hexazinone,CN1C(=O)N(C(C)(C)C)C(=NC1=O)N(C)C,1.2,226.27999999999997,-0.23699999999999988,60.13,0.0,4.0,1.0,1.0,16.0,5.920818753952375
Metribuzin,CC(C)(C)c1nnc(N)c(=O)[nH]1,0.9,168.20000000000002,0.04460000000000014,84.66,2.0,4.0,0.0,1.0,12.0,6.045757490560675
Desmetryn,CNc1nc(SC)nc(NC(C)C)n1,0.32,213.31,1.4555,62.730000000000004,2.0,6.0,4.0,1.0,14.0,6.494850021680094
Prometon,CC(C)Nc1nc(OC)nc(NC(C)C)n1,0.15,225.296,1.5208,71.96000000000001,2.0,6.0,5.0,1.0,16.0,6.823908740944319
Secbumeton,CCC(C)Nc1nc(OC)nc(NCC)n1,0.65,225.296,1.5223999999999998,71.96000000000001,2.0,6.0,6.0,1.0,16.0,6.187086643357144
Atraton,CCNc1nc(OC)nc(NC(C)C)n1,0.21,211.269,1.1322999999999996,71.96000000000001,2.0,6.0,5.0,1.0,15.0,6.6777807052660805
Simetryn,CCNc1nc(SC)nc(NCC)n1,0.08,213.31,1.4570999999999996,62.730000000000004,2.0,6.0,5.0,1.0,14.0,7.096910013008056
Trietazine,CCNc1nc(Cl)nc(N(CC)CC)n1,0.55,229.71499999999997,1.803,53.940000000000005,1.0,5.0,5.0,1.0,15.0,6.259637310505756
Chlorbromuron,CN(OC)C(=O)Nc1ccc(Br)c(Cl)c1,0.42,293.548,3.127600000000002,41.57,1.0,2.0,2.0,1.0,15.0,6.376750709602099
Monolinuron,CN(OC)C(=O)Nc1ccc(Cl)cc1,0.33,214.65200000000002,2.365100000000001,41.57,1.0,2.0,2.0,1.0,14.0,6.481486060122113
Neburon,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,0.28,275.179,4.257200000000004,32.34,1.0,1.0,4.0,1.0,17.0,6.552841968657781
Benzthiazuron,CNC(=O)Nc1nc2ccccc2s1,0.17,207.258,2.0476,54.02,2.0,3.0,1.0,2.0,14.0,6.769551078621726
Difenoxuron,CN(C)C(=O)Nc1ccc(Oc2ccccc2)cc1,0.031,256.305,3.572400000000002,41.57000000000001,1.0,2.0,3.0,2.0,19.0,7.508638306165727
Buturon,CC(C#C)NC(=O)Nc1ccc(Cl)cc1,0.07,222.675,2.483200000000001,41.13,2.0,1.0,2.0,1.0,15.0,7.154901959985743
