Name,SMILES,IC50_uM
Atrazine,CCNc1nc(Cl)nc(NC(C)C)n1,0.19
Simazine,CCNc1nc(Cl)nc(NCC)n1,0.43
Propazine,CC(C)Nc1nc(Cl)nc(NC(C)C)n1,0.1
Terbutryn,CC(C)(C)Nc1nc(SC)nc(NCC)n1,0.04
Ametryn,CCNc1nc(SC)nc(NC(C)C)n1,0.06
Prometryn,CC(C)Nc1nc(SC)nc(NC(C)C)n1,0.05
Diuron,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,0.011
Linuron,CN(OC)C(=O)Nc1ccc(Cl)c(Cl)c1,0.028
Monuron,CN(C)C(=O)Nc1ccc(Cl)c1,0.12
Chlortoluron,CN(C)C(=O)Nc1ccc(Cl)c(C)c1,0.22
Isoproturon,CN(C)C(=O)Nc1ccc(C(C)C)cc1,0.009
Metobromuron,CN(OC)C(=O)Nc1ccc(Br)cc1,0.16
Metoxuron,CN(C)C(=O)Nc1ccc(Cl)c(OC)c1,0.38
Fluometuron,CN(C)C(=O)Nc1ccc(C(F)(F)F)cc1,0.013
Fenuron,CN(C)C(=O)Nc1ccccc1,0.6
Tebuthiuron,CN(C)C(=O)Nc1nnc(C(C)(C)C)s1,0.055
Methabenzthiazuron,CN(C(=O)Nc1nc2ccccc2s1)C,0.25
Cyanazine,CC(C)(N)Nc1nc(Cl)nc(NCC)n1,0.19
Hexazinone,CN1C(=O)N(C(C)(C)C)C(=NC1=O)N(C)C,1.2
Metribuzin,CC(C)(C)c1nnc(N)c(=O)[nH]1,0.9
Desmetryn,CNc1nc(SC)nc(NC(C)C)n1,0.32
Prometon,CC(C)Nc1nc(OC)nc(NC(C)C)n1,0.15
Secbumeton,CCC(C)Nc1nc(OC)nc(NCC)n1,0.65
Atraton,CCNc1nc(OC)nc(NC(C)C)n1,0.21
Simetryn,CCNc1nc(SC)nc(NCC)n1,0.08
Trietazine,CCNc1nc(Cl)nc(N(CC)CC)n1,0.55
Chlorbromuron,CN(OC)C(=O)Nc1ccc(Br)c(Cl)c1,0.42
Monolinuron,CN(OC)C(=O)Nc1ccc(Cl)cc1,0.33
Neburon,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,0.28
Benzthiazuron,CNC(=O)Nc1nc2ccccc2s1,0.17
Difenoxuron,CN(C)C(=O)Nc1ccc(Oc2ccccc2)cc1,0.031
Buturon,CC(C#C)NC(=O)Nc1ccc(Cl)cc1,0.07
